J,R,E,M,E_Num,algo,n_subtypes,mallows_temperature,kendalls_w,runtime,kendalls_tau,subtype_acc,stage_mae,mean_stage_healthy,runtime_cross_validation,absolute_error_n_subtypes,relative_error,correct_bool
726,0.21,sn_kjContinuousBeta_sigmoid,6,5,SuStaIn (GMM),3,0.08236725896499666,0.5757575757575758,5.463599952061971,0.14646464646464644,0.23088306659407348,1.1310344827586207,1.8476821192052981,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,6,5,SuStaIn (KDE),3,0.08236725896499666,0.5757575757575758,6.3865980426470434,0.39898989898989895,0.09426537821441182,1.8689655172413793,2.9072847682119205,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,7,5,BebmS,3,0.3712079468275921,0.885003885003885,2.7553970257441205,0.26262626262626265,0.00027154762332293626,1.7020689655172414,0.006622516556291391,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,7,5,BebmS (Blind),3,0.3712079468275921,0.885003885003885,3.4399540503819783,0.30303030303030304,-0.0030269475997976433,1.6275862068965516,0.1456953642384106,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,7,5,Random Guessing,3,0.3712079468275921,0.885003885003885,0.0,0.41919191919191917,-8.049106931204124e-05,4.358620689655172,6.516556291390729,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,7,5,SuStaIn (GMM),3,0.3712079468275921,0.885003885003885,4.770269413789113,0.37878787878787884,0.0,2.0193103448275864,2.8211920529801326,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,7,5,SuStaIn (KDE),3,0.3712079468275921,0.885003885003885,4.4842454870541895,0.3181818181818182,0.04280467927090213,2.035862068965517,2.609271523178808,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,8,5,BebmS,3,0.17679989105876612,0.29914529914529914,2.352838170528412,0.2727272727272727,0.1967748620519773,1.415977961432507,0.06666666666666667,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,8,5,BebmS (Blind),3,0.17679989105876612,0.29914529914529914,2.864523712793986,0.1717171717171717,0.4010860123113357,1.0716253443526171,0.0,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,8,5,Random Guessing,3,0.17679989105876612,0.29914529914529914,0.0,0.3585858585858586,-0.0003255692185684483,4.119834710743802,5.66,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,8,5,SuStaIn (GMM),3,0.17679989105876612,0.29914529914529914,4.650226624806722,0.3333333333333333,0.05409685045916015,1.4049586776859504,1.54,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,8,5,SuStaIn (KDE),3,0.17679989105876612,0.29914529914529914,4.454100124041239,0.20707070707070707,0.15468305452237535,2.0853994490358128,2.3,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,9,5,BebmS,3,0.3312313495506399,0.7016317016317016,2.337155342102051,0.35858585858585856,0.6034584414408127,1.2951724137931035,0.0,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,9,5,BebmS (Blind),3,0.3312313495506399,0.7016317016317016,2.7295077482859296,0.13636363636363635,0.5268680969669762,1.4910344827586206,0.013245033112582781,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,9,5,Random Guessing,3,0.3312313495506399,0.7016317016317016,0.0,0.47474747474747475,0.00010578901626268742,4.293793103448276,6.086092715231788,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,9,5,SuStaIn (GMM),3,0.3312313495506399,0.7016317016317016,4.638702114423116,0.4444444444444444,0.46092487297115037,2.0013793103448276,3.6357615894039736,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,9,5,SuStaIn (KDE),3,0.3312313495506399,0.7016317016317016,4.452714864412943,0.3636363636363636,0.035880688514532424,2.0951724137931036,2.993377483443709,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,10,5,BebmS,3,0.4758763661357919,0.6891996891996892,2.347521114349365,0.2828282828282828,0.0783594188231729,1.72,0.0,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,10,5,BebmS (Blind),3,0.4758763661357919,0.6891996891996892,2.8368786056836446,0.31313131313131315,0.08410572415855527,1.7020689655172414,0.8940397350993378,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,10,5,Random Guessing,3,0.4758763661357919,0.6891996891996892,0.0,0.5707070707070706,0.005431682014277608,4.379310344827586,6.039735099337748,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,10,5,SuStaIn (GMM),3,0.4758763661357919,0.6891996891996892,4.600366922219594,0.2626262626262626,0.27127808455922175,1.5655172413793104,2.033112582781457,,,100,100
